image_path,class_label,attributes,caption,instance_id,mapped_class,split
images\team14_wrist_watch (24).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch upside down,Team14_BlackWatch_I,wristwatch,train
images\team14_wrist_watch (25).jpg,clothing_wrist_watch,color:silver;material:unknown;condition:new;size:small,new small silver leather watch from side,Team14_SilverWatch_G,wristwatch,val
images\team14_wrist_watch (26).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from front,Team14_BlackWatch_J,wristwatch,train
images\team14_wrist_watch (27).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from top,Team14_YellowWatch_G,wristwatch,train
images\team14_wrist_watch (28).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from front,Team14_YellowWatch_H,wristwatch,train
images\team14_wrist_watch (29).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from front,Team14_BlackWatch_K,wristwatch,train
images\team14_wrist_watch (30).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black analog wrist watch,Team14_BlackWatch_L,wristwatch,train
images\team14_wrist_watch (31).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch,Team14_BlackWatch_M,wristwatch,train
images\team14_wrist_watch (32).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from side,Team14_SilverWatch_H,wristwatch,train
images\team14_wrist_watch (33).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal watch from back,Team14_BlackWatch_N,wristwatch,val
images\team14_wrist_watch (35).jpg,clothing_wrist_watch,color:white;material:metal;condition:new;size:small,new small silver metal watch analog,Team14_SilverWatch_J,wristwatch,train
images\team14_wrist_watch (36).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal watch analog,Team14_BlackWatch_O,wristwatch,train
images\team14_wrist_watch (37).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch flipped over,Team14_SilverWatch_K,wristwatch,val
images\team14_wrist_watch (39).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather watch lying straight,Team14_BlueWatch_B,wristwatch,train
images\team14_wrist_watch (40).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather watch from front,Team14_BlueWatch_C,wristwatch,train
images\team14_wrist_watch (41).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from top,Team14_BlackWatch_P,wristwatch,train
images\team14_wrist_watch (42).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small metal silver watch from top,Team14_SilverWatch_L,wristwatch,train
images\team14_wrist_watch (44).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from side,Team14_BlackWatch_R,wristwatch,train
images\team14_wrist_watch (45).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather smart watch,Team14_BlackWatch_S,wristwatch,val
images\team14_wrist_watch (46).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from side,Team14_YellowWatch_I,wristwatch,train
images\team14_wrist_watch (47).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch,Team14_OrangeWatch_A,wristwatch,train
images\team14_wrist_watch (48).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch sideways,Team14_OrangeWatch_B,wristwatch,train
images\team14_wrist_watch (49).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch from side,Team14_OrangeWatch_C,wristwatch,train
images\team14_wrist_watch (50).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch from back,Team14_BlackWatch_T,wristwatch,train
images\team14_wrist_watch (51).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from side,Team14_YellowWatch_J,wristwatch,train
images\team14_wrist_watch (52).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch from top,Team14_OrangeWatch_D,wristwatch,val
images\team14_wrist_watch (53).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch placed diagonally,Team14_OrangeWatch_E,wristwatch,train
images\team14_wrist_watch (55).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch from top,Team14_BlackWatch_U,wristwatch,train
images\team14_wrist_watch (56).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch face,Team14_SIlverWatch_M,wristwatch,train
images\team14_wrist_watch (57).jpg,clothing_wrist_watch,color:yellow;material:unknown;condition:new;size:small,new small yellow leather watch from side,Team14_YellowWatch_L,wristwatch,train
images\team14_wrist_watch (58).jpg,clothing_wrist_watch,color:unknown;material:plastic;condition:new;size:small,new small black plastic smart watch face,Team14_BlackWatch_V,wristwatch,train
images\team14_wrist_watch (59).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal watch flipped over,Team14_BlackWatch_W,wristwatch,train
images\team14_wrist_watch (60).jpg,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,new small blue rubber analog watch from front,Team14_BlueWatch_D,wristwatch,train
images\team14_wrist_watch (61).jpg,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,new small blue analog rubber watch sideways,Team14_BlueWatch_E,wristwatch,train
images\team14_wrist_watch (62).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather analog watch,Team14_BlueWatch_F,wristwatch,val
images\team14_wrist_watch (63).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch sideways,Team14_BlackWatch_X,wristwatch,train
images\team14_wrist_watch (64).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue analog leather watch sideways,Team14_BlueWatch_G,wristwatch,train
images\team14_wrist_watch (65).jpg,clothing_wrist_watch,color:silver;material:rubber;condition:new;size:small,new small silver rubber watch from side,Team14_SilverWatch_N,wristwatch,train
images\team14_wrist_watch (66).jpg,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,new small blue rubber watch from side,Team14_BlueWatch_H,wristwatch,train
images\team14_wrist_watch (67).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch from back,Team14_BlackWatch_Y,wristwatch,train
images\team14_wrist_watch (68).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch from front,Team14_BlackWatch_Z,wristwatch,train
images\team14_wrist_watch (69).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch from front,Team14_SilverWatch_O,wristwatch,train
images\team14_wrist_watch (70).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from top,Team14_BlackWatch_AA,wristwatch,val
images\team14_wrist_watch (71).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from back,Team14_SilverWatch_P,wristwatch,train
images\team14_wrist_watch (72).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch face,Team14_SilverWatch_Q,wristwatch,train
images\team14_wrist_watch (73).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from side,Team14_BlackWatch_AB,wristwatch,train
images\team14_wrist_watch (74).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from top,Team14_BlackWatch_AC,wristwatch,train
images\team14_wrist_watch (75).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch sideways,Team14_SilverWatch_R,wristwatch,val
images\team14_wrist_watch (76).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch sideways,Team14_SilverWatch_S,wristwatch,train
images\team14_wrist_watch (77).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather analog watch,Team14_BlueWatch_I,wristwatch,val
images\team14_wrist_watch (78).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch,Team14_BlackWatch_AD,wristwatch,train
images\team14_wrist_watch (79).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch,Team14_BlackWatch_AE,wristwatch,val
images\team14_wrist_watch (80).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small brown analog leather watch,Team14_BrownWatch_A,wristwatch,val
images\team14_wrist_watch (81).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch,Team14_SilverWatch_T,wristwatch,train
images\team14_wrist_watch (82).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small leather watch from back,Team14_UnkWatch_A,wristwatch,val
images\team14_wrist_watch (83).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small brown analog leather watch,Team14_BrownWatch_B,wristwatch,val
images\team14_wrist_watch (84).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small leather watch from side,Team14_UnkWatch_B,wristwatch,val
images\team14_wrist_watch (85).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch,Team14_BlackWatch_AF,wristwatch,val
images\team14_wrist_watch (86).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small brown leather watch from side,Team14_BrownWatch_C,wristwatch,val
images\team14_wrist_watch (87).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch from side,Team14_SilverWatch_W,wristwatch,train
images\team14_wrist_watch (88).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch,Team14_BlackWatch_AG,wristwatch,train
images\team14_wrist_watch (89).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch from front,Team14_SilverWatch_U,wristwatch,val
images\team14_wrist_watch (90).jpg,clothing_wrist_watch,color:unknown;material:metal;condition:new;size:small,new small metal watch from side,Team14_UnkWatch_C,wristwatch,train
images\team14_wrist_watch (91).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather analog watch from top,Team14_BlueWatch_J,wristwatch,val
images\team14_wrist_watch (92).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch from top,Team14_BlackWatch_AH,wristwatch,train
images\team14_wrist_watch (93).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch from top,Team14_BlackWatch_AI,wristwatch,val
images\team14_wrist_watch (94).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch from front,Team14_BlackWatch_AJ,wristwatch,train
images\team14_wrist_watch (95).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch sideways,Team14_BlackWatch_AK,wristwatch,train
images\team14_wrist_watch (96).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch from top,Team14_BlackWatch_AL,wristwatch,val
images\team14_wrist_watch (97).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch sideways,Team14_BlackWatch_AM,wristwatch,val
images\team14_wrist_watch (98).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black smart watch from side,Team14_BlackWatch_AN,wristwatch,train
images\team14_wrist_watch (99).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch from behind,Team14_BlackWatch_AO,wristwatch,train
images\team14_wrist_watch (100).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black smart watch from side,Team14_BlackWatch_AP,wristwatch,val
images\team14_earphones (1).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones with closed lid,Team14_WhiteEarphones_A,earphones,val
images\team14_earphones (2).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones with closed lid,Team14_WhiteEarphones_B,earphones,train
images\team14_earphones (3).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_C,earphones,train
images\team14_earphones (4).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:unknown;size:small,white bluetooth earphones kept on solid background,Team14_WhiteEarphones_AK,earphones,train
images\team14_earphones (5).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_D,earphones,train
images\team14_earphones (6).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_E,earphones,val
images\team14_earphones (7).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_F,earphones,train
images\team14_earphones (8).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_G,earphones,train
images\team14_earphones (9).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:unknown;size:small,white bluetooth earphones back side view,Team14_WhiteEarphones_AF,earphones,train
images\team14_earphones (10).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_H,earphones,val
images\team14_earphones (11).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_I,earphones,train
images\team14_earphones (12).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_J,earphones,train
images\team14_earphones (13).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_K,earphones,train
images\team14_earphones (14).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_L,earphones,train
images\team14_earphones (15).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_M,earphones,train
images\team14_earphones (16).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,Team14_WhiteEarphones_N,earphones,val
images\team14_earphones (17).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with brown lid,Team14_BlackBrownEarphones_A,earphones,train
images\team14_earphones (19).jpg,electronic_accessories_earphones,color:brown;material:unknown;condition:used;size:small,Brown bluetooth earphones with vertical orientation,Team14_BrownEarphones_A,earphones,train
images\team14_earphones (20).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,White bluetooth earphones back side view,Team14_WhiteEarphones_AG,earphones,train
images\team14_earphones (21).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,Black case marshall bluetooth earphones with closed lid,Team14_BlackMarshallEarphones_A,earphones,train
images\team14_earphones (22).jpg,electronic_accessories_earphones,color:unknown;material:unknown;condition:used;size:small,black brown earphones with top view visible,Team14_BlackBrownEarphones_G,earphones,train
images\team14_earphones (24).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones back side view,Team14_WhiteEarphones_AH,earphones,train
images\team14_earphones (25).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black earphones bluetooth with brown lid,Team14_BlackBrownEarphones_H,earphones,val
images\team14_earphones (27).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones with closed white lid,Team14_WhiteEarphones_O,earphones,train
images\team14_earphones (28).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,Black bluetooth earphones with small size,Team14_BlackEarphones_A,earphones,train
images\team14_earphones (29).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,White Bluetooth earphones with closed lid backside,Team14_WhiteEarphones_P,earphones,val
images\team14_earphones (30).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones front side closed lid,Team14_WhiteEarphones_Q,earphones,train
images\team14_earphones (31).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,Marshall Bluetooth earphones with black case,Team14_BlackMarshallEarphones_B,earphones,train
images\team14_earphones (32).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black brown earphones with brown lid bluetooth,Team14_BlackBrownEarphones_I,earphones,train
images\team14_earphones (34).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones with charging hole visible,Team14_WhiteEarphones_AI,earphones,train
images\team14_earphones (35).jpg,electronic_accessories_earphones,color:brown;material:unknown;condition:used;size:small,Brown bluetooth earphones with horizontal orientation,Team14_BrownEarphones_C,earphones,val
images\team14_earphones (36).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,White Bluetooth Earphones with open lid front side,Team14_WhiteEarphones_R,earphones,val
images\team14_earphones (37).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with brown lid,Team14_BlackBrownEarphones_J,earphones,train
images\team14_earphones (39).jpg,electronic_accessories_earphones,color:brown;material:unknown;condition:used;size:small,brown bluetooth earphones with closed lid back side,Team14_BrownEarphones_B,earphones,val
images\team14_earphones (40).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,White bluetooth earphones with open lid back side,Team14_WhiteEarphones_S,earphones,train
images\team14_earphones (41).jpg,electronic_accessories_earphones,color:blue;material:plastic;condition:used;size:small,blue earphones bluetooth in center of image front view,Team14_BlueEarphones_B,earphones,train
images\team14_earphones (42).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,black marshall earphones back side with case on,Team14_BlackMarshallEarphones_C,earphones,train
images\team14_earphones (43).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with open lid,Team14_BlackEarphones_B,earphones,train
images\team14_earphones (44).jpg,electronic_accessories_earphones,color:blue;material:plastic;condition:used;size:small,blue colour bluetooth earphones top view,Team14_BlueEarphones_C,earphones,train
images\team14_earphones (45).jpg,electronic_accessories_earphones,color:blue;material:plastic;condition:used;size:small,blue bluetooth earphones back side with closed lid,Team14_BlueEarphones_A,earphones,val
images\team14_earphones (46).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones front side open lid,Team14_BlackEarphones_C,earphones,train
images\team14_earphones (47).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,Black round earphones with closed lid,Team14_BlackEarphones_D,earphones,train
images\team14_earphones (48).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white earphones front side with open lid,Team14_WhiteEarphones_T,earphones,val
images\team14_earphones (49).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones top view with open lid,Team14_BlackEarphones_E,earphones,train
images\team14_earphones (50).jpg,electronic_accessories_earphones,color:unknown;material:unknown;condition:used;size:small,marshall black earphones with yellow case on,Team14_BlackMarshallEarphones_D,earphones,train
images\team14_earphones (51).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,Black bluetooth earphones with round silver design,Team14_BlackEarphones_F,earphones,val
images\team14_earphones (52).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,Black round earphones with closed lid,Team14_BlackEarphones_G,earphones,val
images\team14_earphones (53).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with vertical orientation,Team14_BlackEarphones_H,earphones,train
images\team14_earphones (54).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white earphones with lid open bluetooth,Team14_WhiteEarphones_AJ,earphones,train
images\team14_earphones (55).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:unknown;size:small,black bluetooth earphones with closed lid on solid background,Team14_BlackEarphones_U,earphones,train
images\team14_earphones (56).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,Black marshall case bluetooth earphones with yellow design,Team14_BlackMarshallEarphones_E,earphones,train
images\team14_earphones (57).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,White bluetooth earphones with open lid front side,Team14_WhiteEarphones_U,earphones,train
images\team14_earphones (58).jpg,electronic_accessories_earphones,color:blue;material:plastic;condition:used;size:small,blue bluetooth earphones side view,Team14_BlueEarphones_D,earphones,train
images\team14_earphones (59).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,Black bluetooth earphones with round silver design side view,Team14_BlackEarphones_AD,earphones,train
images\team14_earphones (60).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:unknown;size:small,black bluetooth earphones with closed lid,Team14_BlackEarphones_V,earphones,train
images\team14_earphones (61).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,Black bluetooth earphones with round silver design top side view,Team14_BlackEarphones_W,earphones,val
images\team14_earphones (62).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,Black bluetooth earphones with round silver design top view,Team14_BlackEarphones_AB,earphones,val
images\team14_earphones (63).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with diagonal orientation,Team14_BlackEarphones_AC,earphones,val
images\team14_earphones (64).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,Black bluetooth earphones with round silver design,Team14_BlackEarphones_I,earphones,train
images\team14_earphones (65).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with open lid top view,Team14_BlackEarphones_X,earphones,train
images\team14_earphones (66).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with horizontal orientation,Team14_BlackEarphones_J,earphones,train
images\team14_earphones (67).jpg,electronic_accessories_earphones,color:silver;material:plastic;condition:used;size:small,silver gray bluetooth earphones with silver lining,Team14_SilverEarphones_A,earphones,train
images\team14_earphones (68).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,White bluetooth earphones top view square shape,Team14_WhiteEarphones_V,earphones,train
images\team14_earphones (69).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones back side square shape,Team14_WhiteEarphones_W,earphones,train
images\team14_earphones (70).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones open lid with side view,Team14_WhiteEarphones_X,earphones,train
images\team14_earphones (71).jpg,electronic_accessories_earphones,color:silver;material:plastic;condition:used;size:small,silver gray bluetooth earphones with silver lining,Team14_SilverEarphones_B,earphones,train
images\team14_earphones (72).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones open lid upside down,Team14_WhiteEarphones_Y,earphones,train
images\team14_earphones (73).jpg,electronic_accessories_earphones,color:silver;material:plastic;condition:used;size:small,silver gray bluetooth earphones with silver lining,Team14_SilverEarphones_C,earphones,train
images\team14_earphones (74).jpg,electronic_accessories_earphones,color:silver;material:plastic;condition:used;size:small,silver gray bluetooth earphones with silver lining,Team14_SilverEarphones_D,earphones,train
images\team14_earphones (75).jpg,electronic_accessories_earphones,color:silver;material:plastic;condition:used;size:small,silver gray bluetooth earphones with silver lining,Team14_SilverEarphones_E,earphones,train
images\team14_earphones (76).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with closed lid kept on bedsheet,Team14_BlackEarphones_Y,earphones,val
images\team14_earphones (77).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:unknown;size:small,black earphones bluetooth side view,Team14_BlackEarphones_K,earphones,train
images\team14_earphones (85).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,black case on earphones bluetooth with closed lid,Team14_BlackEarphones_M,earphones,val
images\team14_earphones (88).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,Black bluetooth earphones placed in standing position,Team14_BlackEarphones_N,earphones,val
images\team14_earphones (89).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with a case for hanging,Team14_BlackEarphones_O,earphones,train
